Feature,Coefficient
Median_Income,0.8697066858957101
Average_Bedrooms,0.17882774035466031
House_Age,0.15058220284745866
Population,0.045905073629024816
Average_Rooms,-0.18907822675800587
Average_Occupancy,-0.25726203307875495
Longitude,-0.7951546489540756
Latitude,-0.860206286342543
